,presicion,recall,f1
tau:1.00-gamma:0.15-C:0.70-bound:0.50,0.6715277777777778,0.5246845704511608,0.5823675420424647
tau:1.00-gamma:0.15-C:0.70-bound:0.30,0.5922101449275362,0.689375778048547,0.6328551472168493
tau:1.00-gamma:0.15-C:0.70-bound:0.10,0.45175585284280934,0.9202931571352625,0.6048329942628939
tau:1.00-gamma:0.15-C:0.70-bound:0.05,0.3793415105004692,0.9760765550239233,0.5457573727879343
tau:1.00-gamma:0.15-C:0.70-bound:0.03,0.34826624039339377,0.9912280701754387,0.5148591297435513
tau:1.00-gamma:0.15-C:0.70-bound:0.01,0.2846699749249529,1.0,0.44216760903086944
tau:1.00-gamma:0.15-C:0.80-bound:0.50,0.6775974025974025,0.5246845704511608,0.583958958958959
tau:1.00-gamma:0.15-C:0.80-bound:0.30,0.5919195404702652,0.689375778048547,0.6326949620427882
tau:1.00-gamma:0.15-C:0.80-bound:0.10,0.4664100945350946,0.9202931571352625,0.6174781922022096
tau:1.00-gamma:0.15-C:0.80-bound:0.05,0.3805199616789204,0.9760765550239233,0.5469854429633729
tau:1.00-gamma:0.15-C:0.80-bound:0.03,0.3547539471799579,0.9912280701754387,0.5220043183925392
tau:1.00-gamma:0.15-C:0.80-bound:0.01,0.2879262230093857,1.0,0.44603424089530036
tau:1.00-gamma:0.15-C:1.00-bound:0.50,0.6655296092796092,0.51776757440373,0.5774452669243512
tau:1.00-gamma:0.15-C:1.00-bound:0.30,0.5882961560044894,0.6821294012369528,0.6282429110791093
tau:1.00-gamma:0.15-C:1.00-bound:0.10,0.4697990075170308,0.9202931571352625,0.6207527293227822
tau:1.00-gamma:0.15-C:1.00-bound:0.05,0.3875969227984905,0.9685007974481659,0.5531223532133883
tau:1.00-gamma:0.15-C:1.00-bound:0.03,0.3651009690227563,0.9912280701754387,0.5331338555400337
tau:1.00-gamma:0.15-C:1.00-bound:0.01,0.29601239690513387,1.0,0.45593029284995096
tau:1.00-gamma:0.15-C:2.00-bound:0.50,0.6578259373925008,0.5434320319903844,0.5919432116800538
tau:1.00-gamma:0.15-C:2.00-bound:0.30,0.6043599331771375,0.7048566739642254,0.6478834236080613
tau:1.00-gamma:0.15-C:2.00-bound:0.10,0.4860163749498152,0.8975345148114027,0.6284069218538862
tau:1.00-gamma:0.15-C:2.00-bound:0.05,0.43562171322429677,0.9685007974481659,0.600043759764231
tau:1.00-gamma:0.15-C:2.00-bound:0.03,0.3911643247458831,0.9912280701754387,0.5606146856146856
tau:1.00-gamma:0.15-C:2.00-bound:0.01,0.30717698571959784,0.9912280701754387,0.46845295248511515
tau:1.00-gamma:0.20-C:0.30-bound:0.50,0.6683195889078242,0.5334565002757222,0.5869574325456678
tau:1.00-gamma:0.20-C:0.30-bound:0.30,0.5495804220498325,0.6499400675602048,0.5920713993093502
tau:1.00-gamma:0.20-C:0.30-bound:0.10,0.4111811617939069,0.934609250398724,0.570050395545867
tau:1.00-gamma:0.20-C:0.30-bound:0.05,0.3627533966528003,0.9760765550239233,0.5283548574780891
tau:1.00-gamma:0.20-C:0.30-bound:0.03,0.3252930868273274,0.9924242424242425,0.48950326019126433
tau:1.00-gamma:0.20-C:0.30-bound:0.01,0.282909792594312,1.0,0.44017924540973247
tau:1.00-gamma:0.20-C:0.50-bound:0.50,0.6808653764536117,0.5322603280269184,0.5901959651959653
tau:1.00-gamma:0.20-C:0.50-bound:0.30,0.5713929392573894,0.689375778048547,0.6207993450482726
tau:1.00-gamma:0.20-C:0.50-bound:0.10,0.4449825034064165,0.9202931571352625,0.5986590548914376
tau:1.00-gamma:0.20-C:0.50-bound:0.05,0.37593526551323236,0.9760765550239233,0.5422694291846338
tau:1.00-gamma:0.20-C:0.50-bound:0.03,0.3465526881030964,0.9912280701754387,0.5129257283097092
tau:1.00-gamma:0.20-C:0.50-bound:0.01,0.2875782910787405,1.0,0.4457647745141426
tau:1.00-gamma:0.20-C:0.70-bound:0.50,0.6675137362637362,0.5250139512153242,0.5823783183690304
tau:1.00-gamma:0.20-C:0.70-bound:0.30,0.5782904612161858,0.6897051588127102,0.6262807694583827
tau:1.00-gamma:0.20-C:0.70-bound:0.10,0.46993174514976843,0.9202931571352625,0.6206970531698032
tau:1.00-gamma:0.20-C:0.70-bound:0.05,0.3849893258004955,0.9760765550239233,0.55167255271729
tau:1.00-gamma:0.20-C:0.70-bound:0.03,0.36077280738626727,0.9912280701754387,0.5285124760633645
tau:1.00-gamma:0.20-C:0.70-bound:0.01,0.2954145333242915,1.0,0.4551805144161432
tau:1.00-gamma:0.20-C:0.80-bound:0.50,0.6698946886446887,0.51776757440373,0.5797956942747785
tau:1.00-gamma:0.20-C:0.80-bound:0.30,0.5790119619376866,0.6897051588127102,0.6262811991666968
tau:1.00-gamma:0.20-C:0.80-bound:0.10,0.4697990075170308,0.9202931571352625,0.6207527293227822
tau:1.00-gamma:0.20-C:0.80-bound:0.05,0.3905914066440382,0.9685007974481659,0.5561210905871258
tau:1.00-gamma:0.20-C:0.80-bound:0.03,0.3661884352216096,0.9912280701754387,0.5343413338575145
tau:1.00-gamma:0.20-C:0.80-bound:0.01,0.29590321645186357,1.0,0.4558202450558739
tau:1.00-gamma:0.20-C:1.00-bound:0.50,0.6642282554047261,0.5253433319794876,0.5826005949124964
tau:1.00-gamma:0.20-C:1.00-bound:0.30,0.580517702573862,0.6972809163884679,0.630549648727262
tau:1.00-gamma:0.20-C:1.00-bound:0.10,0.48131597085085454,0.913046780323668,0.6283935499920995
tau:1.00-gamma:0.20-C:1.00-bound:0.05,0.4091570237052616,0.9609250398724084,0.5735792549751305
tau:1.00-gamma:0.20-C:1.00-bound:0.03,0.3718915544717081,0.9912280701754387,0.540309569460652
tau:1.00-gamma:0.20-C:1.00-bound:0.01,0.2982584033934464,0.9912280701754387,0.45766716748859615
tau:1.00-gamma:0.20-C:2.00-bound:0.50,0.6658869395711501,0.5434320319903844,0.5943383193383194
tau:1.00-gamma:0.20-C:2.00-bound:0.30,0.611094301954517,0.7200395587123275,0.6582631874298541
tau:1.00-gamma:0.20-C:2.00-bound:0.10,0.48745849651388795,0.889958757235645,0.6281036152328525
tau:1.00-gamma:0.20-C:2.00-bound:0.05,0.4467509798245152,0.9533179127000637,0.6070179554762377
tau:1.00-gamma:0.20-C:2.00-bound:0.03,0.4099784843649972,0.9912280701754387,0.5794083471753909
tau:1.00-gamma:0.20-C:2.00-bound:0.01,0.31362057593686493,0.9912280701754387,0.475835619921269
tau:1.00-gamma:0.25-C:0.30-bound:0.50,0.6869981325863678,0.5322603280269184,0.5930579180579181
tau:1.00-gamma:0.25-C:0.30-bound:0.30,0.5589280056109142,0.6890150276877965,0.6142188425375289
tau:1.00-gamma:0.25-C:0.30-bound:0.10,0.4170936323247248,0.9358054226475279,0.5758097573198134
tau:1.00-gamma:0.25-C:0.30-bound:0.05,0.3657218988699804,0.9760765550239233,0.531546437140257
tau:1.00-gamma:0.25-C:0.30-bound:0.03,0.3319496078824437,0.9924242424242425,0.49707183491809753
tau:1.00-gamma:0.25-C:0.30-bound:0.01,0.2845772457042291,1.0,0.44225202459960267
tau:1.00-gamma:0.25-C:0.50-bound:0.50,0.6633470695970696,0.5250139512153242,0.5809558432623448
tau:1.00-gamma:0.25-C:0.50-bound:0.30,0.56772616453989,0.704527293200062,0.6262585812356979
tau:1.00-gamma:0.25-C:0.50-bound:0.10,0.46283417369049484,0.9202931571352625,0.6143519670064171
tau:1.00-gamma:0.25-C:0.50-bound:0.05,0.3814939876529464,0.9760765550239233,0.548066524044454
tau:1.00-gamma:0.25-C:0.50-bound:0.03,0.3551701978704079,0.9912280701754387,0.5223146894545444
tau:1.00-gamma:0.25-C:0.50-bound:0.01,0.2939983968993496,1.0,0.45347394342853403
tau:1.00-gamma:0.25-C:0.70-bound:0.50,0.6587301587301587,0.51776757440373,0.5760543589544956
tau:1.00-gamma:0.25-C:0.70-bound:0.30,0.5783532004093598,0.6972809163884679,0.6292397856883798
tau:1.00-gamma:0.25-C:0.70-bound:0.10,0.4726551903127297,0.9202931571352625,0.6229749515450046
tau:1.00-gamma:0.25-C:0.70-bound:0.05,0.3987817634176178,0.9685007974481659,0.5645701027459903
tau:1.00-gamma:0.25-C:0.70-bound:0.03,0.36748095222841237,0.9912280701754387,0.5356911491459487
tau:1.00-gamma:0.25-C:0.70-bound:0.01,0.29590321645186357,1.0,0.4558202450558739
tau:1.00-gamma:0.25-C:0.80-bound:0.50,0.6615079365079365,0.5420517697405568,0.5919078239511676
tau:1.00-gamma:0.25-C:0.80-bound:0.30,0.5847996525079858,0.6972809163884679,0.633066102463228
tau:1.00-gamma:0.25-C:0.80-bound:0.10,0.4813454310547334,0.9202931571352625,0.6302363279321804
tau:1.00-gamma:0.25-C:0.80-bound:0.05,0.4091570237052616,0.9609250398724084,0.5735792549751305
tau:1.00-gamma:0.25-C:0.80-bound:0.03,0.3718915544717081,0.9912280701754387,0.540309569460652
tau:1.00-gamma:0.25-C:0.80-bound:0.01,0.2993718247267212,0.9912280701754387,0.4590542056944856
tau:1.00-gamma:0.25-C:1.00-bound:0.50,0.6770202020202021,0.5499882776770648,0.6019960326763921
tau:1.00-gamma:0.25-C:1.00-bound:0.30,0.5892558906817906,0.7136286037887868,0.6426361580400674
tau:1.00-gamma:0.25-C:1.00-bound:0.10,0.4867346307982783,0.9202931571352625,0.6348693851035772
tau:1.00-gamma:0.25-C:1.00-bound:0.05,0.42137910195524747,0.9529885319359003,0.5837812697508303
tau:1.00-gamma:0.25-C:1.00-bound:0.03,0.3830286144928612,0.9912280701754387,0.5522090711837934
tau:1.00-gamma:0.25-C:1.00-bound:0.01,0.30463598213598214,0.9912280701754387,0.46536685598454347
tau:1.00-gamma:0.25-C:2.00-bound:0.50,0.6694978632478632,0.5275590161173684,0.5843921497838267
tau:1.00-gamma:0.25-C:2.00-bound:0.30,0.6154151922403195,0.7036918713120087,0.652947961286286
tau:1.00-gamma:0.25-C:2.00-bound:0.10,0.4989610160483671,0.889958757235645,0.6374276527673953
